SGB_ID,Completeness,Contamination,Genome size (bp),Contig count,N50,GC,BioProject,Domain,Phylum,Class,Order,Family,Genus,Species,fastani_ani
DHCMJ07802__maxbin2_high_prob.018.contigs,86.17,2.59,1899529,462,5210,41.7,PRJNA417359,d__Bacteria,p__Firmicutes,c__Bacilli,o__Staphylococcales,f__Salinicoccaceae,g__Jeotgalicoccus,s__Jeotgalicoccus halophilus,99.29
X87_Garden_Dormouse__metabat2_low_PE.003.contigs,96.55,1.92,1878315,166,15100,41.8,multi-species,d__Bacteria,p__Firmicutes,c__Bacilli,o__Staphylococcales,f__Salinicoccaceae,g__Jeotgalicoccus,s__,
X87_Garden_Dormouse__metabat2_low_PE.004.contigs,98.16,1.66,2505071,199,20313,31.9,multi-species,d__Bacteria,p__Firmicutes,c__Bacilli,o__Staphylococcales,f__Staphylococcaceae,g__Staphylococcus_A,s__Staphylococcus_A lentus,99.28
SAMEA104315432__metabat2_low_PE.051.contigs,50.67,0.75,791652,234,3721,34.2,PRJEB22765,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__4C28d-15,f__,g__,s__,
SAMEA104315439__maxbin2_low_prob.003.contigs,75.04,0.0,1010630,49,129914,39.6,PRJEB22765,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__4C28d-15,f__,g__,s__,
SAMEA104315420__metabat2_high_PE.021.contigs,90.7,2.49,1906678,340,7119,44.9,PRJEB22765,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__4C28d-15,f__CAG-727,g__UBA10281,s__,
SAMEA104315429__metabat2_high_PE.007.contigs,87.14,1.37,1795317,341,6569,45.5,PRJEB22765,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__4C28d-15,f__CAG-727,g__UBA10281,s__,
SAMEA104315424__maxbin2_high_prob.004.contigs,62.53,0.49,1147896,375,3340,42.7,PRJEB22765,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__4C28d-15,f__CAG-727,g__UBA11475,s__,
C._urophasianus_3_cecum__metabat2_low_PE.001.contigs,55.78,0.07,875502,226,4324,49.5,PRJNA336354,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__4C28d-15,f__CAG-727,g__UBA11940,s__,
N._stephensi_703_cecum__maxbin2_low_prob.003.contigs,55.06,4.06,1167268,353,3670,46.3,PRJNA336354,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__4C28d-15,f__CAG-727,g__UBA11940,s__,
N._stephensi_703_cecum__metabat2_low_PE.003.contigs,82.21,1.06,1243198,158,11420,51.8,PRJNA336354,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__4C28d-15,f__CAG-727,g__UBA11940,s__,
X22_European_Rabbit__maxbin2_low_prob.006.contigs,62.43,0.0,1047585,57,27520,49.4,multi-species,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__4C28d-15,f__CAG-727,g__UBA11940,s__,
NBJMC04202__metabat2_high_PE.039.contigs,84.31,1.01,1346981,277,6274,58.8,PRJNA417359,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__4C28d-15,f__CAG-917,g__,s__,
SAMEA104315422__metabat2_low_PE.034.contigs,92.47,1.4,1371913,93,21563,49.0,PRJEB22765,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__4C28d-15,f__CAG-917,g__CAG-1138,s__CAG-1138 sp000434675,97.91
SAMEA104315427__maxbin2_low_prob.007.contigs,91.94,0.7,1541796,19,188450,47.4,PRJEB22765,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__4C28d-15,f__CAG-917,g__CAG-349,s__CAG-349 sp003539515,97.16
SAMEA104315420__metabat2_low_PE.009.contigs,85.46,0.0,1532439,44,72378,47.0,PRJEB22765,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__4C28d-15,f__CAG-917,g__CAG-475,s__CAG-475 sp000434435,97.49
SAMEA104315436__metabat2_low_PE.018.contigs,85.46,0.0,1610998,10,388620,47.5,PRJEB22765,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__4C28d-15,f__CAG-917,g__CAG-475,s__,
SAMEA104315437__metabat2_low_PE.024.contigs,80.31,0.87,1481649,218,9433,46.3,PRJEB22765,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__4C28d-15,f__CAG-917,g__CAG-475,s__,
SAMEA3663046__maxbin2_low_prob.001.contigs,81.43,1.01,1457557,193,11481,46.3,PRJEB11755,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__4C28d-15,f__CAG-917,g__CAG-475,s__,
SAMEA3663047__metabat2_low_PE.040.contigs,62.06,1.34,983546,337,3060,47.7,PRJEB11755,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__4C28d-15,f__CAG-917,g__CAG-475,s__,
SAMEA104315424__metabat2_low_PE.052.contigs,87.92,0.93,1433274,217,8395,41.9,PRJEB22765,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__4C28d-15,f__CAG-917,g__CAG-917,s__,
SAMEA104315436__maxbin2_low_prob.037.contigs,82.51,2.81,1696158,304,7244,30.9,PRJEB22765,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__4C28d-15,f__UBA1242,g__,s__,
SAMEA104315436__metabat2_low_PE.038.contigs,81.11,1.8,995533,206,5930,27.9,PRJEB22765,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__4C28d-15,f__UBA1242,g__,s__,
X430_Giraffe__metabat2_high_PE.002.contigs,59.0,2.25,643438,187,3499,37.4,multi-species,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__4C28d-15,f__UBA1242,g__,s__,
SAMEA104315424__metabat2_low_PE.033.contigs,83.48,1.69,849829,160,6958,33.5,PRJEB22765,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__4C28d-15,f__UBA1242,g__UBA4626,s__,
SAMEA104315431__metabat2_low_PE.029.contigs,89.78,0.0,1123086,21,74181,33.3,PRJEB22765,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__4C28d-15,f__UBA1242,g__UBA4626,s__,
SAMEA104315432__metabat2_high_PE.031.contigs,51.56,1.0,1202909,109,15126,30.0,PRJEB22765,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__4C28d-15,f__UBA1242,g__UBA6345,s__UBA6345 sp002437945,96.45
SAMEA104315436__maxbin2_high_prob.027.contigs,89.89,0.0,1172111,56,81476,36.0,PRJEB22765,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__4C28d-15,f__UBA1242,g__UBA7862,s__,
SAMEA3663025__metabat2_low_PE.001.contigs,91.01,1.12,1118006,187,8247,35.1,PRJEB11755,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__4C28d-15,f__UBA1242,g__UBA7862,s__,
NBJMC04202__metabat2_high_PE.015.contigs,63.02,1.2,985177,319,3269,56.4,PRJNA417359,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__4C28d-15,f__UBA3700,g__,s__,
NHCFR05603__metabat2_high_PE.018.contigs,90.83,0.0,1681184,78,30165,56.4,PRJNA417359,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__4C28d-15,f__UBA3700,g__,s__,
SAMEA3663028__metabat2_low_PE.020.contigs,77.95,1.34,1499351,353,5583,31.1,PRJEB11755,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__4C28d-15,f__UBA3700,g__UBA3700,s__,
SAMEA104315427__metabat2_low_PE.010.contigs,91.21,3.72,1575408,291,6664,53.7,PRJEB22765,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Christensenellales,f__CAG-138,g__,s__,
SAMEA3663015__maxbin2_low_prob.022.contigs,97.2,0.72,1643888,121,22419,48.3,PRJEB11755,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Christensenellales,f__CAG-138,g__,s__,
SAMEA3663207__metabat2_low_PE.012.contigs,93.36,0.0,1504298,233,8798,51.2,PRJEB11755,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Christensenellales,f__CAG-138,g__,s__,
SAMEA3663207__metabat2_low_PE.015.contigs,94.09,0.0,1544504,35,93593,51.3,PRJEB11755,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Christensenellales,f__CAG-138,g__,s__,
X371_Linnaeus_Two_toed_Sloth__maxbin2_high_prob.017.contigs,94.69,1.75,2098003,171,19920,51.6,multi-species,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Christensenellales,f__CAG-138,g__,s__,
X73_One_humped_Camel__metabat2_high_PE.013.contigs,89.0,2.17,1777228,237,9495,52.0,multi-species,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Christensenellales,f__CAG-138,g__,s__,
R21__metabat2_low_PE.066.contigs,93.47,2.22,2267636,366,8433,58.9,PRJNA532626,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Christensenellales,f__CAG-138,g__CAG-1024,s__,
R22__metabat2_high_PE.038.contigs,75.44,1.5,1740296,187,14112,51.6,PRJNA532626,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Christensenellales,f__CAG-138,g__CAG-1024,s__,
SAMEA104315421__maxbin2_low_prob.007.contigs,96.61,0.81,2142057,68,66336,56.3,PRJEB22765,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Christensenellales,f__CAG-138,g__CAG-1024,s__CAG-1024 sp000432015,98.74
SAMEA104315420__metabat2_low_PE.011.contigs,93.94,1.34,2083874,37,84735,49.4,PRJEB22765,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Christensenellales,f__CAG-138,g__PeH17,s__PeH17 sp000435055,98.17
SAMEA3663246__metabat2_low_PE.017.contigs,93.8,0.7,1436012,174,14257,49.9,PRJEB11755,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Christensenellales,f__CAG-138,g__PeH17,s__,
SAMEA3663269__metabat2_high_PE.014.contigs,86.33,2.82,1562757,360,5263,49.7,PRJEB11755,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Christensenellales,f__CAG-138,g__PeH17,s__,
SAMEA104315420__maxbin2_high_prob.017.contigs,77.98,1.06,1516618,492,3304,52.7,PRJEB22765,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Christensenellales,f__CAG-138,g__Phil1,s__Phil1 sp001940855,97.16
SAMEA3663277__metabat2_low_PE.023.contigs,97.58,0.0,1680072,192,12150,51.8,PRJEB11755,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Christensenellales,f__CAG-138,g__Phil1,s__,
R15__metabat2_low_PE.046.contigs,87.16,0.43,1861534,477,4576,54.1,PRJNA532626,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Christensenellales,f__CAG-138,g__RUG472,s__,
R22__maxbin2_high_prob.022.contigs,95.81,0.0,1840913,137,24867,59.7,PRJNA532626,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Christensenellales,f__CAG-138,g__RUG472,s__,
R28__metabat2_high_PE.001.contigs,68.82,1.31,2392724,564,5168,56.7,PRJNA532626,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Christensenellales,f__CAG-138,g__RUG472,s__,
SAMEA3663242__metabat2_high_PE.014.contigs,94.3,2.82,2010021,305,8616,54.4,PRJEB11755,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Christensenellales,f__CAG-138,g__RUG472,s__,
R22__maxbin2_high_prob.011.contigs,93.96,0.67,2187071,60,59110,55.4,PRJNA532626,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Christensenellales,f__CAG-138,g__UBA3857,s__,
CHCFC05602__metabat2_high_PE.021.contigs,98.39,0.27,2859198,240,21844,62.9,PRJNA417359,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Christensenellales,f__CAG-74,g__,s__,
DSLFC04101__metabat2_low_PE.048.contigs,61.26,0.95,1504365,462,3552,62.1,PRJNA417359,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Christensenellales,f__CAG-74,g__,s__,
DSLFC04102__metabat2_low_PE.004.contigs,97.72,1.21,2917758,304,13861,62.7,PRJNA417359,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Christensenellales,f__CAG-74,g__,s__,
DSLFC04102__metabat2_low_PE.005.contigs,97.58,1.26,3240550,320,18245,60.0,PRJNA417359,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Christensenellales,f__CAG-74,g__,s__,
DSLFR04102__metabat2_low_PE.033.contigs,96.75,1.01,2579616,72,67371,62.5,PRJNA417359,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Christensenellales,f__CAG-74,g__,s__,
DSTMC04003__metabat2_low_PE.048.contigs,92.49,3.23,2610691,245,15979,60.1,PRJNA417359,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Christensenellales,f__CAG-74,g__,s__,
LBJMC04200__metabat2_low_PE.012.contigs,83.87,0.27,2406646,429,7159,63.0,PRJNA417359,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Christensenellales,f__CAG-74,g__,s__,
LHCFC01400__metabat2_low_PE.025.contigs,74.18,2.8,2105198,587,4023,59.3,PRJNA417359,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Christensenellales,f__CAG-74,g__,s__,
MHCFC02800__metabat2_low_PE.014.contigs,95.49,1.91,2589830,435,8163,63.8,PRJNA417359,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Christensenellales,f__CAG-74,g__,s__,
MHCFR04200__metabat2_low_PE.027.contigs,97.58,0.81,2815501,257,17977,59.9,PRJNA417359,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Christensenellales,f__CAG-74,g__,s__,
MHCFR05601__maxbin2_low_prob.006.contigs,65.36,3.88,1443237,455,3607,64.1,PRJNA417359,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Christensenellales,f__CAG-74,g__,s__,
NBJMC04201__metabat2_low_PE.017.contigs,96.77,0.27,3021621,53,92736,61.1,PRJNA417359,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Christensenellales,f__CAG-74,g__,s__,
NHCFR05603__metabat2_high_PE.044.contigs,97.55,0.0,2409975,118,31967,63.6,PRJNA417359,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Christensenellales,f__CAG-74,g__,s__,
R03__metabat2_high_PE.065.contigs,82.73,1.07,2290178,455,6117,60.9,PRJNA532626,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Christensenellales,f__CAG-74,g__,s__,
R14__metabat2_high_PE.020.contigs,90.68,3.68,2662668,492,7292,57.5,PRJNA532626,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Christensenellales,f__CAG-74,g__,s__,
R14__metabat2_high_PE.034.contigs,87.31,1.58,3053932,391,12026,63.1,PRJNA532626,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Christensenellales,f__CAG-74,g__,s__,
R15__metabat2_high_PE.044.contigs,84.12,0.33,1816374,506,4091,54.9,PRJNA532626,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Christensenellales,f__CAG-74,g__,s__,
R15__metabat2_high_PE.047.contigs,67.11,0.03,1526733,538,2984,56.2,PRJNA532626,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Christensenellales,f__CAG-74,g__,s__,
R17__maxbin2_high_prob.029.contigs,99.4,0.54,1900185,101,31598,62.7,PRJNA532626,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Christensenellales,f__CAG-74,g__,s__,
R19__metabat2_low_PE.030.contigs,75.13,1.61,2360042,700,3572,61.2,PRJNA532626,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Christensenellales,f__CAG-74,g__,s__,
R21__metabat2_low_PE.059.contigs,92.89,2.56,3274049,226,22239,57.9,PRJNA532626,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Christensenellales,f__CAG-74,g__,s__,
R27__maxbin2_low_prob.044.contigs,95.8,0.23,3171290,77,106226,55.4,PRJNA532626,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Christensenellales,f__CAG-74,g__,s__,
R28__metabat2_low_PE.026.contigs,87.9,0.0,2935848,195,33893,64.1,PRJNA532626,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Christensenellales,f__CAG-74,g__,s__,
X353_Raccoon__metabat2_low_PE.005.contigs,63.96,0.27,2646062,722,3801,61.1,multi-species,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Christensenellales,f__CAG-74,g__,s__,
R26__metabat2_high_PE.047.contigs,95.1,0.47,3442739,125,50285,54.2,PRJNA532626,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Christensenellales,f__CAG-74,g__GCA-900199385,s__GCA-900199385 sp900315675,97.51
MHCFR05601__metabat2_low_PE.030.contigs,98.53,0.93,2565991,46,106569,65.9,PRJNA417359,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Christensenellales,f__CAG-74,g__OEMS01,s__,
R11__metabat2_high_PE.049.contigs,94.32,0.0,2399927,253,14136,60.8,PRJNA532626,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Christensenellales,f__CAG-74,g__UBA11524,s__,
R14__metabat2_high_PE.015.contigs,94.3,1.34,2741269,227,19636,63.4,PRJNA532626,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Christensenellales,f__CAG-74,g__UBA11524,s__,
R14__metabat2_high_PE.026.contigs,92.78,0.0,2746439,178,35074,59.5,PRJNA532626,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Christensenellales,f__CAG-74,g__UBA11524,s__,
R23__maxbin2_low_prob.047.contigs,78.33,0.34,3528025,171,35399,58.6,PRJNA532626,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Christensenellales,f__CAG-74,g__UBA11524,s__,
X409_Impala__metabat2_high_PE.002.contigs,86.22,4.15,2513321,287,12893,61.4,multi-species,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Christensenellales,f__CAG-74,g__UBA11524,s__,
R21__metabat2_high_PE.034.contigs,97.2,1.46,4230038,189,34505,53.5,PRJNA532626,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Christensenellales,f__CAG-74,g__UBA2943,s__UBA2943 sp002350845,98.4
R19__metabat2_low_PE.041.contigs,95.7,0.0,1989699,107,31139,54.0,PRJNA532626,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Christensenellales,f__CAG-74,g__UBA4246,s__,
DSLFC04101__maxbin2_high_prob.036.contigs,89.55,1.05,1889422,172,24610,48.1,PRJNA417359,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Christensenellales,f__Christensenellaceae,g__,s__,
MJGMH2__maxbin2_high_prob.002.contigs,72.34,3.27,1689924,72,46941,29.6,PRJNA476660,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Clostridiales,f__Clostridiaceae,g__Clostridium,s__,
Virginia_p1__metabat2_low_PE.013.contigs,94.05,3.85,2992721,724,5056,28.4,PRJEB20308,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Clostridiales,f__Clostridiaceae,g__Clostridium,s__,
X276_Barnacle_Goose__metabat2_high_PE.012.contigs,85.53,0.81,2377310,429,6721,27.5,multi-species,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Clostridiales,f__Clostridiaceae,g__Clostridium,s__,
X276_Barnacle_Goose__metabat2_low_PE.010.contigs,91.69,2.5,2687342,455,7327,28.1,multi-species,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Clostridiales,f__Clostridiaceae,g__Clostridium,s__,
X32_Greylag_Goose__maxbin2_low_prob.001.contigs,70.62,0.89,2096285,573,3837,29.5,multi-species,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Clostridiales,f__Clostridiaceae,g__Clostridium,s__,
X256_Zander__metabat2_high_PE.003.contigs,94.31,2.08,2614674,264,16680,26.7,multi-species,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Clostridiales,f__Clostridiaceae,g__Clostridium_AH,s__,
Cebus_capucinus_imitator_PRJNA485217_SSR091__maxbin2_high_prob.005.contigs,98.79,0.37,3305084,266,26685,27.5,PRJNA485217,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Clostridiales,f__Clostridiaceae,g__Clostridium_P,s__Clostridium_P mediterraneense,99.31
SAMEA5043680__maxbin2_low_prob.004.contigs,98.79,1.45,3632933,116,80483,28.7,PRJEB29346,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Clostridiales,f__Clostridiaceae,g__Clostridium_P,s__,
X81_Wolf__metabat2_low_PE.002.contigs,92.18,0.4,2296857,425,6343,29.4,multi-species,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Clostridiales,f__Clostridiaceae,g__Clostridium_P,s__Clostridium_P perfringens,98.66
R18__metabat2_low_PE.011.contigs,58.26,2.11,949738,364,2708,46.0,PRJNA532626,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Eubacteriales,f__Eubacteriaceae,g__Eubacterium_O,s__,
R26__metabat2_high_PE.046.contigs,93.23,0.67,3262081,332,16067,49.9,PRJNA532626,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Lachnospirales,f__,g__,s__,
X157_Grey_Heron__metabat2_low_PE.010.contigs,94.63,1.23,1948898,162,16785,24.4,multi-species,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Lachnospirales,f__Anaerotignaceae,g__An114,s__,
Elaine_p2__metabat2_high_PE.037.contigs,70.42,0.0,1169098,411,2918,37.8,PRJEB20308,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Lachnospirales,f__Anaerotignaceae,g__Anaerotignum,s__,
SAMEA104404100__metabat2_low_PE.071.contigs,96.85,0.11,1900270,104,27829,41.8,PRJEB23642,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Lachnospirales,f__Anaerotignaceae,g__Anaerotignum,s__,
SAMEA3387489__metabat2_low_PE.017.contigs,70.78,0.36,1649509,578,3042,45.8,PRJEB9357,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Lachnospirales,f__Anaerotignaceae,g__Anaerotignum,s__Anaerotignum sp001304995,98.55
X73_One_humped_Camel__metabat2_low_PE.007.contigs,89.04,1.85,1970718,255,9930,49.8,multi-species,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Lachnospirales,f__Anaerotignaceae,g__Anaerotignum,s__,
CBJMC01400__metabat2_low_PE.039.contigs,97.05,0.0,2960202,336,12769,53.0,PRJNA417359,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__,s__,
Cebus_capucinus_imitator_PRJNA485217_SSR105__metabat2_low_PE.004.contigs,93.06,1.34,2833737,351,11595,36.8,PRJNA485217,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__,s__,
DSTFC04002__metabat2_high_PE.021.contigs,92.92,2.24,2482277,199,18371,51.8,PRJNA417359,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__,s__,
DSTMR04002__metabat2_high_PE.016.contigs,63.49,0.65,1619788,541,3104,54.4,PRJNA417359,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__,s__,
N._stephensi_708_cecum__metabat2_low_PE.003.contigs,53.37,1.5,1851016,682,2757,46.5,PRJNA336354,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__,s__,
N._stephensi_709_cecum__metabat2_low_PE.006.contigs,70.21,3.36,3358661,1123,3205,38.0,PRJNA336354,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__,s__,
R03__metabat2_high_PE.063.contigs,95.7,2.35,2147185,275,11104,48.9,PRJNA532626,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__,s__,
R03__metabat2_low_PE.074.contigs,97.67,0.74,2415861,135,35599,42.7,PRJNA532626,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__,s__,
R06__maxbin2_low_prob.015.contigs,82.4,4.77,2401715,493,6265,51.1,PRJNA532626,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__,s__,
R06__maxbin2_low_prob.024.contigs,66.41,4.34,1148313,400,3084,49.2,PRJNA532626,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__,s__,
R07__maxbin2_high_prob.008.contigs,95.79,0.97,2518403,127,36861,48.8,PRJNA532626,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__,s__,
R11__metabat2_high_PE.001.contigs,84.78,0.79,2431684,459,6883,48.3,PRJNA532626,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__,s__,
R11__metabat2_high_PE.057.contigs,97.68,2.85,2604908,218,24305,47.1,PRJNA532626,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__,s__,
R11__metabat2_low_PE.003.contigs,89.74,2.27,2128210,458,5712,46.3,PRJNA532626,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__,s__,
R14__maxbin2_low_prob.027.contigs,96.62,1.27,2314209,50,92468,54.5,PRJNA532626,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__,s__,
R14__metabat2_high_PE.030.contigs,98.21,1.27,2635912,146,29497,51.7,PRJNA532626,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__,s__,
R16__maxbin2_low_prob.010.contigs,95.46,0.53,2485847,203,24992,37.3,PRJNA532626,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__,s__,
R17__metabat2_low_PE.029.contigs,98.17,1.29,3140096,369,13131,51.0,PRJNA532626,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__,s__,
R17__metabat2_low_PE.031.contigs,79.72,1.12,2254302,627,4107,44.9,PRJNA532626,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__,s__,
R17__metabat2_low_PE.032.contigs,61.69,0.95,1521329,591,2640,50.7,PRJNA532626,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__,s__,
SAMEA104315421__metabat2_low_PE.047.contigs,67.2,1.93,1427948,477,3153,45.4,PRJEB22765,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__,s__,
SAMEA104315435__metabat2_low_PE.020.contigs,97.09,3.36,3183224,177,31827,33.2,PRJEB22765,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__,s__,
SAMEA3387468__metabat2_low_PE.040.contigs,97.09,0.69,2707181,325,12580,43.0,PRJEB9357,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__,s__,
SAMEA3663267__metabat2_low_PE.017.contigs,84.38,1.74,1738001,403,5294,39.7,PRJEB11755,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__,s__,
X287_Common_Brushtail__metabat2_low_PE.009.contigs,96.64,1.23,1969483,88,36401,42.2,multi-species,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__,s__,
X409_Impala__metabat2_low_PE.002.contigs,95.2,1.24,2466157,172,21454,41.0,multi-species,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__,s__,
